nr,skjal_nr,heimilisfang,tegund,nidurstada,spurning
25094 (01.71.000.8),BN025094,Miklabraut 82,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um samþykki fyrir áður gerðri íbúð í kjallara og  reyndarteikningum af húsinu á lóðinni nr. 82 við Miklubraut.  Afsal dags. 5. ágúst 1954, skoðunarskýrsla byggingarfulltrúa dags. 23. apríl 2002 og samþykki meðeigenda dags. 28. maí 2002 fylgja erindinu.  Gjald kr. 4.800"
24000 (01.81.700.1),BN024000,Mosgerði 2,kvistur,Samþykkt. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Að lokinni grenndarkynningu byggingarleyfisumsóknar er lagt fram að nýju bréf frá afgreiðslufundi byggingarfulltrúa, dags. 21.03.02, þar sem sótt er um leyfi til þess að byggja kvist á norðurhlið hússins á lóðinni nr. 2 við Mosgerði. Jafnframt er útliti norður, austur- og suðurhliðar breytt og skorsteinn á vesturhlið er felldur út á teikningum. Kvistur er klæddur utan með bárujárni, samkv. uppdr. Arkitektastofu Suðurnesja, dags. 28.02.02. Málið var í kynningu frá 2. til 24. apríl 2002. Engar athugasemdir bárust.  Stærð: Stækkun kvistur 3,5 ferm. og 15,4 rúmm.  Gjald kr. 4.100 + 739"
25034 (04.02.440.3),BN025034,Naustabryggja 12-22,breyting inni og úti,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að breyta innra skipulagi á öllum hæðum, breyta gluggum, breyta klæðningu og leiðrétta stærðir fjölbýlishússins á lóð nr. 12-22 við Naustabryggju.  Stærð: Bílgeymsla kjallara var 1202,3 ferm. verður 1156,4 ferm., íbúð kjallari var 447,6 ferm. verður 462,3 ferm., 1. hæð var 1142,3 ferm. verður 1153,6  ferm., 2. hæð  var 1103,5 ferm. verður 1113,3 ferm., 3. hæð var 1091,5 ferm. verður 1087,5 ferm., 4. hæð óbreytt 920,3 ferm., samtals var hús 5904,5 ferm. verður 5893,4 ferm., var 16781,3 rúmm. verður 17066 rúmm.  Gjald kr. 4.800 + 13.666"
25104 (01.77.--9.6),BN025104,Nauthólsvík 107481,Geymsla,Frestað. Vísað til athugasemda á umsóknarblaði. Málinu vísað til umsagnar skipulagsfulltrúa.,"Sótt er um leyfi til þess að byggja geymsluskúr fyrir björgunarbát að suðurhlið húss sem hýsir starfsemi siglingaklúbbs ÍTR í Nauthólsvík.  Bréf hönnuðar dags. 16. maí 2002 fylgir erindinu.  Stærð: Viðbygging 27,0 ferm. og 90 rúmm.  Gjald kr. 4.800 + 4.320"
25129 (01.51.701.7),BN025129,Nesvegur 66,Bílskúr,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um samþykki fyrir áður gerðum bílskúr á lóðinni nr. 66 við Nesveg.  Stærð: Bílskúr xx  Gjald kr. 4.800 + xx
25068 (04.23.280.2),BN025068,Nethylur 2,Breytingar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að koma fyrir skáp fyrir gaskúta utanhúss (undir vesturvegg) vegna breytinga á veitingarekstri í matshl. 02 á lóðinni nr. 2 við Nethyl.  Gjald kr. 4.800
24988 (01.41.310.9),BN024988,Njörvasund 3,viðbygging,Var samþykkt 30. maí 2002. Samræmist ákvæðum laga nr. 73/1997. Með vísan til samþykktar borgarráðs frá 1. september 1998 skal utanhúss- og lóðarfrágangi vera lokið eigi síðar en innan tveggja ára frá útgáfu byggingarleyfis að viðlögðum dagsektarákvæðum 57. gr. skipulags- og byggingarlaga nr. 73/1997.,"Að lokinni grenndarkynningu er lagt fram að nýju bréf frá afgreiðslufundi byggingarfulltrúa, dags. 08.05.02, þar sem sótt er um leyfi til þess að byggja sólskála við húsið á lóðinni nr. 3 við Njörvasund, samkv. uppdr. Glámu-Kím, dags. 27.04.02. Einnig lagt fram samþykki eigenda að húseignunum Njörvasundi 1 og Njörvasundi 5, mótt. 22.05.02. Lagt fram samþykki Nönnu Bjarkar Viðarsdóttur, Njörvasundi 1, dags. 23.05.02, Baldvins M. Fredriksen, Njörvasundi 1, dags. 23.05.02, Gunnars Hámundarsonar, Njörvasundi 1, dags. 23.05.02, Þóru Pétursdóttur, Njörvasundi 5, dags. 23.05.02 og Flosa Þ. Jakobssonar, Njörvasundi 5, dags. 23.05.02.  Stærð: Sólskáli 20,2 ferm. og 72,7 rúmm.  Gjald kr. 4.800 + 3.491"
25171 (01.23.520.1),BN025171,Nóatún 17,Breyting inni,Frestað. Vísað til athugasemda eldvarnaeftirlits.,Sótt er um leyfi til þess að innrétta apótek á fyrstu hæð hússins á lóðinni nr. 17 við Nóatún.  Samþykki eiganda dags. 25. maí 2002 fylgir erindinu.  Gjald kr. 4.800
24908 (04.12.310.2),BN024908,Ólafsgeisli 13-23,br. hús nr. 13 og 19,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til þess að fjölga gluggum á suðurgafli húss nr. 13 og færa eldhús í húsi nr. 13 og 19 á lóð nr. 13-23 við Ólafsgeisla.  Gjald kr. 4.800
25111 (04.13.300.1),BN025111,Prestastígur 11,breyting úti,Frestað. Málinu vísað til umsagnar skipulagsfulltrúa.,Sótt er um leyfi fyrir breyttu fyrirkomulagi utanhúss á lóðinni nr. 11 við Prestastíg.   Bílastæðum á lóð fjölgar um eitt (verða 27).  Gjald kr. 4.800
